1.000000000000000000e+02,5.701828002929687673e-03,8.660551246411266448e-04,1.332659721374511788e-02,1.477182167318950206e-03,1.902842521667480469e-02,2.004808643967900990e-03,2.400149822235107533e-01,6.188376776533391181e-03,5.733966827392578125e-04,0.000000000000000000e+00,1.060962677001953125e-04,0.000000000000000000e+00
1.000000000000000000e+03,6.139659881591796528e-03,4.737517696037571988e-04,1.305539608001709054e-02,1.878344744652496456e-03,1.919505596160888533e-02,1.931174812282685904e-03,2.228107452392578125e-01,4.480899115654768741e-03,4.723072052001953125e-04,0.000000000000000000e+00,9.131431579589843750e-05,0.000000000000000000e+00
1.000000000000000000e+04,6.099081039428711284e-03,6.068068647878480928e-04,1.206252574920654332e-02,1.789759363014555840e-04,1.816160678863525460e-02,6.608787985165698667e-04,2.092780351638793834e-01,1.157719760510382296e-03,1.047134399414062500e-03,0.000000000000000000e+00,7.362365722656250000e-04,0.000000000000000000e+00
1.000000000000000000e+05,1.113693714141845634e-02,2.289705032845363100e-03,1.199679374694824149e-02,1.813908480585871101e-04,2.313373088836669783e-02,2.292995407510151854e-03,2.163760423660278376e-01,3.579474839995981216e-03,1.432538032531738281e-02,0.000000000000000000e+00,7.324695587158203125e-03,0.000000000000000000e+00
1.000000000000000000e+06,7.011485099792480469e-02,1.494390936837422697e-02,1.609621047973632674e-02,2.587464798510274652e-03,8.621106147766113836e-02,1.647814711523393205e-02,2.762624740600586049e-01,1.700441660384812217e-02,1.646060943603515625e-01,0.000000000000000000e+00,8.075976371765136719e-02,0.000000000000000000e+00
5.000000000000000000e+06,3.599533081054687722e-01,3.082780306950795926e-02,2.801792621612548759e-02,6.046186298232979379e-03,3.879712343215942494e-01,3.599941970916074874e-02,1.187603020668029696e+00,5.708828700044187021e-02,8.158817291259765625e-01,0.000000000000000000e+00,3.985238075256347656e-01,0.000000000000000000e+00
1.000000000000000000e+07,6.562328100204467551e-01,8.341342207196300595e-02,4.189431667327880859e-02,3.338292964474099626e-03,6.981271266937255637e-01,8.403645214516423934e-02,2.074115800857543768e+00,1.061415301568922331e-01,1.617231369018554688e+00,0.000000000000000000e+00,7.600150108337402344e-01,0.000000000000000000e+00
2.000000000000000000e+07,1.334675192832946777e+00,1.030135104874705665e-01,7.634079456329345703e-02,7.628298936536947322e-03,1.411015987396240234e+00,1.067580925698827649e-01,3.935754537582397461e+00,1.360226235083778212e-01,3.234157800674438477e+00,0.000000000000000000e+00,1.428009986877441406e+00,0.000000000000000000e+00
5.000000000000000000e+07,2.811588263511657804e+00,1.072059205496680712e-01,1.513237476348877064e-01,5.862742459035141275e-03,2.962912011146545233e+00,1.048342168507312572e-01,8.332346343994140980e+00,1.326249673386640238e-01,8.078627109527587891e+00,0.000000000000000000e+00,3.423845767974853516e+00,0.000000000000000000e+00
7.000000000000000000e+07,4.264399337768554510e+00,2.717347009526391299e-01,2.038938283920287975e-01,1.570905261468313885e-02,4.468293166160583141e+00,2.644416354833705185e-01,1.169908127784728968e+01,3.030808468390500110e-01,1.120864510536193848e+01,0.000000000000000000e+00,4.712185621261596680e+00,0.000000000000000000e+00
9.338890000000000000e+07,5.170149683952331543e+00,4.669156462818593312e-01,2.577752113342285378e-01,1.017754344478121950e-02,5.427924895286560414e+00,4.675366563467450720e-01,1.501513879299163889e+01,6.155349835448068463e-01,1.855676531791687012e+01,0.000000000000000000e+00,6.354988098144531250e+00,0.000000000000000000e+00
