1.000000000000000000e+02,5.684065818786621267e-03,1.678013547509053186e-03,6.725549697875976562e-03,9.702277029769273129e-05,1.240961551666259696e-02,1.685054393180666476e-03,3.339786529541015347e-02,1.650981680685462789e-03,4.606246948242187500e-04,0.000000000000000000e+00,2.603054046630859375e-03,0.000000000000000000e+00
1.000000000000000000e+03,4.928088188171387066e-03,6.776126599295059696e-04,6.584501266479492534e-03,7.110340716022246202e-04,1.151258945465087960e-02,1.240828586119651755e-03,3.773026466369629184e-02,1.542154785779705113e-02,3.759860992431640625e-04,0.000000000000000000e+00,7.319450378417968750e-05,0.000000000000000000e+00
1.000000000000000000e+04,4.992413520812988455e-03,6.058612043591943535e-04,6.793236732482910503e-03,6.546233097733605106e-05,1.178565025329589809e-02,6.286102786850072954e-04,3.334579467773437361e-02,1.601271017892823539e-03,9.994506835937500000e-04,0.000000000000000000e+00,6.248950958251953125e-04,0.000000000000000000e+00
1.000000000000000000e+05,8.277416229248046875e-03,1.510121045281669159e-03,7.941555976867676475e-03,3.107351150928763794e-03,1.621897220611572335e-02,3.543708464931705562e-03,3.522613048553466936e-02,3.151188029569307585e-03,1.148128509521484375e-02,0.000000000000000000e+00,5.916833877563476562e-03,0.000000000000000000e+00
1.000000000000000000e+06,3.828604221343993863e-02,4.317679879783527762e-03,4.311370849609375173e-03,3.816894375364445185e-04,4.259741306304931641e-02,4.316576988574548530e-03,5.846340656280517301e-02,5.048650790431777335e-03,1.363763809204101562e-01,0.000000000000000000e+00,6.465649604797363281e-02,0.000000000000000000e+00
5.000000000000000000e+06,1.769402980804443415e-01,9.154911433453975789e-03,5.306720733642578125e-03,1.194187798371684718e-03,1.822470188140869196e-01,9.492590942095129741e-03,1.989892721176147461e-01,9.686707138924152694e-03,7.014253139495849609e-01,0.000000000000000000e+00,3.225548267364501953e-01,0.000000000000000000e+00
1.000000000000000000e+07,3.561680316925048828e-01,1.149273204037785587e-02,7.377099990844726389e-03,4.834067164164289744e-04,3.635451316833496205e-01,1.162776831015194592e-02,3.876188039779663308e-01,2.308158248027236334e-02,1.393878459930419922e+00,0.000000000000000000e+00,6.448822021484375000e-01,0.000000000000000000e+00
2.000000000000000000e+07,7.331376075744628906e-01,2.201920861607617463e-02,1.159205436706542934e-02,4.724406477983300297e-04,7.447296619415283425e-01,2.171156026282048540e-02,7.745926380157470703e-01,2.186568314403343136e-02,2.769967555999755859e+00,0.000000000000000000e+00,1.296185255050659180e+00,0.000000000000000000e+00
5.000000000000000000e+07,1.718963432312011763e+00,4.126523632942669800e-02,2.521495819091796806e-02,7.228535658479264296e-04,1.744178390502929776e+00,4.106624774535554134e-02,1.815714597702026367e+00,4.162207430064202018e-02,6.910832166671752930e+00,0.000000000000000000e+00,3.248583078384399414e+00,0.000000000000000000e+00
7.000000000000000000e+07,2.764605617523193448e+00,4.310666183050370498e-02,3.440883159637451311e-02,7.266660402263560442e-04,2.799014449119567871e+00,4.290434416888066343e-02,2.897000646591186612e+00,4.273072926843683728e-02,9.663976192474365234e+00,0.000000000000000000e+00,4.540650129318237305e+00,0.000000000000000000e+00
1.000000000000000000e+08,3.490766096115112127e+00,8.640703841335252433e-02,4.866847991943359236e-02,2.666226602084264988e-04,3.539434576034545810e+00,8.628160206228820128e-02,3.681364607810974299e+00,8.699952697111594524e-02,1.389291167259216309e+01,0.000000000000000000e+00,6.499763011932373047e+00,0.000000000000000000e+00
1.288766820000000000e+08,4.234302806854247869e+00,9.414492041628717833e-02,6.101102828979491910e-02,9.422167639987100596e-04,4.295313835144042969e+00,9.416454724241661578e-02,4.476379990577697754e+00,9.428647535947448644e-02,1.765547966957092285e+01,0.000000000000000000e+00,8.362703323364257812e+00,0.000000000000000000e+00
