1.000000000000000000e+02,5.506515502929687500e-03,1.408600807189941406e-02,1.959252357482910156e-02,2.419223785400390625e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,8.108854293823242188e-03,1.326107978820800781e-02,2.136993408203125000e-02,2.333462238311767578e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,5.784273147583007812e-03,1.348114013671875000e-02,1.926541328430175781e-02,2.448372840881347656e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,6.621837615966796875e-03,1.261377334594726562e-02,1.923561096191406250e-02,2.368774414062500000e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,6.070137023925781250e-03,2.035975456237792969e-02,2.642989158630371094e-02,2.466213703155517578e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,6.799221038818359375e-03,1.253437995910644531e-02,1.933360099792480469e-02,2.325770854949951172e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,5.996942520141601562e-03,1.125454902648925781e-02,1.725149154663085938e-02,2.388596534729003906e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,6.564617156982421875e-03,1.416468620300292969e-02,2.072930335998535156e-02,2.322611808776855469e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,5.018472671508789062e-03,1.384925842285156250e-02,1.886773109436035156e-02,2.365491390228271484e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+02,6.963968276977539062e-03,1.193809509277343750e-02,1.890206336975097656e-02,2.339065074920654297e-01,5.922317504882812500e-04,2.328395843505859375e-03
1.000000000000000000e+03,4.995584487915039062e-03,1.369023323059082031e-02,1.868581771850585938e-02,2.160096168518066406e-01,5.118846893310546875e-04,8.320808410644531250e-05
1.000000000000000000e+03,5.174398422241210938e-03,1.291251182556152344e-02,1.808691024780273438e-02,2.158555984497070312e-01,5.118846893310546875e-04,8.320808410644531250e-05
1.000000000000000000e+03,5.840063095092773438e-03,1.124882698059082031e-02,1.708889007568359375e-02,2.114820480346679688e-01,5.118846893310546875e-04,8.320808410644531250e-05
1.000000000000000000e+03,4.721164703369140625e-03,1.201844215393066406e-02,1.673960685729980469e-02,2.114634513854980469e-01,5.118846893310546875e-04,8.320808410644531250e-05
1.000000000000000000e+03,4.819869995117187500e-03,1.171135902404785156e-02,1.653122901916503906e-02,2.120609283447265625e-01,5.118846893310546875e-04,8.320808410644531250e-05
1.000000000000000000e+03,6.169557571411132812e-03,1.204347610473632812e-02,1.821303367614746094e-02,2.157025337219238281e-01,5.118846893310546875e-04,8.320808410644531250e-05
