1.000000000000000000e+00,8.059573173522949913e-03,1.497991085052490304e-02,3.482437133789062500e-02
1.000000000000000000e+01,8.225393295288086631e-03,1.551139354705810547e-02,4.025950431823730608e-02
1.000000000000000000e+02,7.591938972473144878e-03,1.465666294097900391e-02,3.455805778503417969e-02
1.000000000000000000e+03,7.606935501098632639e-03,1.581857204437255721e-02,3.579397201538085660e-02
1.000000000000000000e+04,8.155465126037597656e-03,1.505486965179443290e-02,3.428664207458496233e-02
1.000000000000000000e+05,9.978032112121582378e-03,1.660444736480713029e-02,3.584773540496825894e-02
1.000000000000000000e+06,3.063061237335205217e-02,3.701171874999999861e-02,6.223018169403075894e-02
1.000000000000000000e+07,3.156041622161865345e-01,3.218011379241943470e-01,3.417560100555420144e-01
1.000000000000000000e+08,3.029632973670959295e+00,3.036020898818969638e+00,3.061106824874877841e+00
1.008124920000000000e+08,3.045305466651916593e+00,3.051696753501892179e+00,3.070234107971191229e+00
